,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,geometry
11337,5,20034,Pascoe Vale Railway Station (Pascoe Vale),-37.7307559550131,144.928195624317,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.928195624317 -37.7307559550131)
11338,6,20035,Strathmore Railway Station (Strathmore),-37.7435913223557,144.927315711579,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.927315711579 -37.7435913223557)
11339,7,20036,Glenbervie Railway Station (Essendon),-37.7472098464261,144.920938683118,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.920938683118 -37.7472098464261)
11340,10,20039,Ascot Vale Railway Station (Ascot Vale),-37.7753060851473,144.921820740203,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.921820740203 -37.7753060851473)
11341,11,20040,Newmarket Railway Station (Flemington),-37.7873276709024,144.928978466737,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.928978466737 -37.7873276709024)
11342,12,20041,Kensington Railway Station (Kensington),-37.7937802194996,144.930524437444,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.930524437444 -37.7937802194996)
11343,13,19973,North Melbourne Railway Station (West Melbourne),-37.8074187741802,144.94256978252,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.94256978252 -37.8074187741802)
11344,14,19841,Flagstaff Railway Station (Melbourne City),-37.811981307387,144.955653760429,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.955653760429 -37.811981307387)
11345,15,19842,Melbourne Central Railway Station (Melbourne City),-37.8099387667448,144.962593535096,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.962593535096 -37.8099387667448)
11346,16,19843,Parliament Railway Station (Melbourne City),-37.8110540555366,144.972910916416,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.972910916416 -37.8110540555366)
11347,17,19854,Flinders Street Railway Station (Melbourne City),-37.8183051340647,144.966964346167,2-B31-mjp-10,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.966964346167 -37.8183051340647)
11348,1,20030,Broadmeadows Railway Station (Broadmeadows),-37.6830492642131,144.919613216031,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.919613216031 -37.6830492642131)
11349,2,20031,Jacana Railway Station (Glenroy),-37.6951307851368,144.915850518758,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.915850518758 -37.6951307851368)
11350,3,20032,Glenroy Railway Station (Glenroy),-37.7045363302368,144.917220403897,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.917220403897 -37.7045363302368)
11351,4,20033,Oak Park Railway Station (Oak Park),-37.717949728725,144.921518773078,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.921518773078 -37.717949728725)
11352,5,20034,Pascoe Vale Railway Station (Pascoe Vale),-37.7307559550131,144.928195624317,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.928195624317 -37.7307559550131)
11353,6,20035,Strathmore Railway Station (Strathmore),-37.7435913223557,144.927315711579,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.927315711579 -37.7435913223557)
11354,7,20036,Glenbervie Railway Station (Essendon),-37.7472098464261,144.920938683118,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.920938683118 -37.7472098464261)
11355,10,20039,Ascot Vale Railway Station (Ascot Vale),-37.7753060851473,144.921820740203,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.921820740203 -37.7753060851473)
11356,11,20040,Newmarket Railway Station (Flemington),-37.7873276709024,144.928978466737,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.928978466737 -37.7873276709024)
11357,12,20041,Kensington Railway Station (Kensington),-37.7937802194996,144.930524437444,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.930524437444 -37.7937802194996)
11358,13,19973,North Melbourne Railway Station (West Melbourne),-37.8074187741802,144.94256978252,2-B31-mjp-4,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.94256978252 -37.8074187741802)
